model,alpha,k,recall,precision,hit_ratio,epoch,lr
TextLightGCN,0.1,5,0.10825265182701191,0.04222369643094533,0.16579540931405068,218,0.005
TextLightGCN,0.1,10,0.13346797790360163,0.02825262040599966,0.20257396842244926,207,0.005
TextLightGCN,0.1,20,0.16204806149454304,0.018377338463578377,0.24813586307549423,206,0.005
TextLightGCN,0.5,5,0.11059382976222414,0.043465569855385154,0.17372960063685816,214,0.005
TextLightGCN,0.5,10,0.13771231117898314,0.029030118084120347,0.21435584450046438,228,0.005
TextLightGCN,0.5,20,0.16906041843242176,0.01886824996682839,0.26318163725620275,207,0.005
TextLightGCN,0.9,5,0.10548245156577375,0.041119808942554736,0.167122197160674,94,0.005
TextLightGCN,0.9,10,0.13121903345716476,0.027581265755608826,0.2075892264826854,97,0.005
TextLightGCN,0.9,20,0.1619032235165909,0.018137189863339433,0.2568130555924108,97,0.005
