model,lr,k,recall,precision,hit_ratio,epoch
TextLightGCN,0.01,5,0.09327244188490605,0.036539737296010004,0.14817566671089294,168
TextLightGCN,0.01,10,0.11868591079475167,0.024994029454693045,0.18524611914554862,154
TextLightGCN,0.01,20,0.14767944167411629,0.016766618017778453,0.23221440891601433,109
TextLightGCN,0.005,5,0.1054688927025473,0.04151784529654155,0.16417672814117024,182
TextLightGCN,0.005,10,0.13082001174752012,0.027841316173546668,0.201592145415948,168
TextLightGCN,0.005,20,0.160771819270511,0.018377338463578325,0.24925036486665783,170
TextLightGCN,0.001,5,0.02240746396299388,0.013188271195435353,0.06212020697890407,4
TextLightGCN,0.001,10,0.03689586458635011,0.010874353190925235,0.09826190792092344,21
TextLightGCN,0.001,20,0.06110582932048144,0.009205254079873522,0.15475653443014462,17
TextLightGCN,0.0005,5,0.02205157119393889,0.013151121135729906,0.062226350006633936,4
TextLightGCN,0.0005,10,0.037397081846610544,0.011182167971341883,0.0999601963646013,9
TextLightGCN,0.0005,20,0.060541780000554865,0.00925036486665871,0.15467692715934722,16
TextLightGCN,0.0001,5,0.0227371969396489,0.013129892530183923,0.062332493034363806,57
TextLightGCN,0.0001,10,0.03739227860105604,0.011293618150458267,0.10094201937110256,40
TextLightGCN,0.0001,20,0.06032838509278288,0.009320684622529751,0.1548626774578745,60
